communal ARCC MESA version loaded
/cluster/medbow/home/cworsley/tspComparison/bankGen.js:25
    fs.writeFileSync(fname, JSON.stringify(mat));
                                 ^

RangeError: Invalid string length
    at JSON.stringify (<anonymous>)
    at Object.<anonymous> (/cluster/medbow/home/cworsley/tspComparison/bankGen.js:25:34)
    at Module._compile (node:internal/modules/cjs/loader:1730:14)
    at Object..js (node:internal/modules/cjs/loader:1895:10)
    at Module.load (node:internal/modules/cjs/loader:1465:32)
    at Function._load (node:internal/modules/cjs/loader:1282:12)
    at TracingChannel.traceSync (node:diagnostics_channel:322:14)
    at wrapModuleLoad (node:internal/modules/cjs/loader:235:24)
    at Function.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:170:5)
    at node:internal/main/run_main_module:36:49

Node.js v22.15.0
Running Held-Karp experiment...
LS: n=1201, time=674ms, length=40306
LS: n=1226, time=712ms, length=42024
LS: n=1251, time=734ms, length=44170
LS: n=1276, time=759ms, length=44411
LS: n=1301, time=800ms, length=44936
LS: n=1326, time=824ms, length=45914
LS: n=1351, time=872ms, length=45267
LS: n=1376, time=909ms, length=47482
LS: n=1401, time=928ms, length=49043
LS: n=1426, time=994ms, length=48992
LS: n=1451, time=1021ms, length=49466
LS: n=1476, time=1052ms, length=51122
LS: n=1501, time=1113ms, length=52083
LS: n=1526, time=1131ms, length=51632
LS: n=1551, time=1143ms, length=54178
LS: n=1576, time=1223ms, length=53560
LS: n=1601, time=1290ms, length=54359
LS: n=1626, time=1260ms, length=57054
LS: n=1651, time=1354ms, length=57703
LS: n=1676, time=1435ms, length=59002
LS: n=1701, time=1431ms, length=58933
LS: n=1726, time=1472ms, length=62078
LS: n=1751, time=1602ms, length=60697
LS: n=1776, time=1531ms, length=62246
LS: n=1801, time=1636ms, length=65284
LS: n=1826, time=1781ms, length=63393
LS: n=1851, time=1680ms, length=66560
LS: n=1876, time=1775ms, length=66394
LS: n=1901, time=1884ms, length=65861
LS: n=1926, time=1844ms, length=69706
LS: n=1951, time=1969ms, length=68257
LS: n=1976, time=2187ms, length=72722
LS: n=2001, time=1973ms, length=72649
LS: n=2026, time=2175ms, length=73137
LS: n=2051, time=2197ms, length=73947
LS: n=2076, time=2245ms, length=75402
LS: n=2101, time=2268ms, length=76509
LS: n=2126, time=2469ms, length=77229
LS: n=2151, time=2412ms, length=78112
LS: n=2176, time=2458ms, length=79676
LS: n=2201, time=2568ms, length=81069
LS: n=2226, time=2584ms, length=81253
LS: n=2251, time=2735ms, length=80849
LS: n=2276, time=2681ms, length=81653
LS: n=2301, time=2895ms, length=83169
LS: n=2326, time=2849ms, length=83938
LS: n=2351, time=3018ms, length=85244
LS: n=2376, time=2993ms, length=87606
LS: n=2401, time=3130ms, length=86606
LS: n=2426, time=3176ms, length=90482
LS: n=2451, time=3266ms, length=89856
LS: n=2476, time=3292ms, length=92011
LS: n=2501, time=3520ms, length=91408
LS: n=2526, time=3535ms, length=91926
LS: n=2551, time=3698ms, length=93492
LS: n=2576, time=3659ms, length=93805
LS: n=2601, time=3757ms, length=97022
LS: n=2626, time=3929ms, length=95822
LS: n=2651, time=3969ms, length=96421
LS: n=2676, time=4065ms, length=97768
